,Title,ID,Vote_Avg,Vote_Count,Popularity,release_year,Director,Gender,Revenue,Budget
0,Jurassic World: Fallen Kingdom,351286,6.6,2043,237.876,2018,Juan Antonio Bayona,male,711501000,170000000
1,Ant-Man and the Wasp,363088,7.1,698,174.225,2018,Peyton Reed,,303930000,140000000
2,Avengers: Infinity War,299536,8.4,5815,165.192,2018,Joe Russo,male,2021970014,300000000
3,Thor: Ragnarok,284053,7.5,7396,156.049,2017,Taika Waititi,,853977126,180000000
4,Mission: Impossible - Fallout,353081,5.2,42,139.801,2018,Christopher McQuarrie,male,0,0
5,Incredibles 2,260513,7.7,1274,129.972,2018,Brad Bird,male,868429911,200000000
6,The First Purge,442249,6.2,310,126.592,2018,Gerard McMurray,male,41953945,13000000
7,Ready Player One,333339,7.7,3056,112.149,2018,Steven Spielberg,male,581961758,175000000
8,Hotel Transylvania 2,159824,6.7,2152,109.652,2015,Genndy Tartakovsky,,473226958,80000000
9,The Purge,158015,6.1,3535,109.626,2013,James DeMonaco,male,89328627,3000000
10,The Purge: Anarchy,238636,6.6,2841,109.459,2014,James DeMonaco,male,108782847,9000000
11,Mission: Impossible - Rogue Nation,177677,7.1,4147,97.57,2015,Christopher McQuarrie,male,682330139,150000000
12,Fifty Shades Freed,337167,6.0,2325,96.228,2018,James Foley,male,368307760,55000000
13,Mission: Impossible,954,6.8,3599,93.278,1996,Brian De Palma,male,457696359,80000000
14,Rampage,427641,6.1,1363,92.784,2018,Brad Peyton,male,424545471,120000000
15,Ant-Man,102899,7.0,8578,86.383,2015,Peyton Reed,,519311965,130000000
16,Black Panther,284054,7.3,6912,81.649,2018,Ryan Coogler,male,1346499580,200000000
17,Qayamat: City Under Threat,318484,5.5,13,77.697,2003,,,0,0
18,A Quiet Place,447332,7.2,2270,76.057,2018,John Krasinski,male,328260889,17000000
19,Deadpool 2,383498,7.6,3107,75.963,2018,David Leitch,male,692129923,110000000
20,The Purge: Election Year,316727,6.2,2104,70.588,2016,James DeMonaco,male,118587880,10000000
21,Hotel Transylvania 3: Summer Vacation,400155,7.1,141,70.326,2018,Genndy Tartakovsky,,100176000,80000000
22,Mission: Impossible - Ghost Protocol,56292,6.9,4944,67.851,2011,Brad Bird,male,694713380,145000000
23,Tomb Raider,338970,6.2,2207,67.738,2018,Roar Uthaug,male,273521715,94000000
24,Guardians of the Galaxy,118340,7.9,13884,66.602,2014,James Gunn,male,773328629,170000000
25,Star Wars: The Last Jedi,181808,7.1,6048,63.86,2017,Rian Johnson,male,1332459537,200000000
26,Overboard,454619,6.1,104,62.248,2018,Rob Greenberg,male,15425000,12000000
27,Detective Conan: Zero the Enforcer,493006,4.5,10,61.877,2018,Yuzuru Tachikawa,female,0,0
28,Jurassic World,135397,6.5,11577,61.338,2015,Colin Trevorrow,male,1671713208,150000000
29,Maleficent,102651,7.0,6375,59.725,2014,Robert Stromberg,male,758539785,180000000
30,Phoenix Forgotten,443319,5.4,100,58.806,2017,Justin Barber,male,3600000,2800000
31,The Maze Runner,198663,7.0,8412,58.12,2014,Wes Ball,male,348300000,34000000
32,Mission: Impossible III,956,6.5,2716,57.849,2006,J.J. Abrams,male,397850012,150000000
33,Mamma Mia! Here We Go Again,458423,7.0,51,56.086,2018,Ol Parker,male,34977000,75000000
34,The Equalizer 2,345887,5.6,36,55.875,2018,Antoine Fuqua,male,0,0
35,Skyscraper,447200,6.0,162,54.807,2018,Rawson Thurber,,73892260,125000000
36,Mission: Impossible II,955,6.0,2654,54.334,2000,John Woo,male,546388105,125000000
37,What Happened to Monday,406990,7.2,2252,53.052,2017,Tommy Wirkola,male,0,0
38,War for the Planet of the Apes,281338,6.9,4056,52.597,2017,Matt Reeves,male,488533726,150000000
39,Pacific Rim: Uprising,268896,5.9,1156,52.157,2018,Steven S. DeKnight,male,290061297,150000000
40,Harry Potter and the Philosopher's Stone,671,7.7,10270,49.116,2001,Chris Columbus,male,976475550,125000000
41,Justice League,141052,6.3,5078,46.087,2017,Zack Snyder,male,657924295,500000000
42,Logan,263115,7.7,9672,45.737,2017,James Mangold,male,616801808,97000000
43,Geostorm,274855,5.8,1558,44.835,2017,Dean Devlin,male,221600160,120000000
44,The Avengers,24428,7.5,15488,44.439,2012,Joss Whedon,male,1519557910,220000000
45,Interstellar,157336,8.2,14739,43.853,2014,Christopher Nolan,male,675120017,165000000
46,Blade Runner 2049,335984,7.3,4806,43.821,2017,Denis Villeneuve,male,259239658,150000000
47,Avengers: Age of Ultron,99861,7.3,9910,43.658,2015,Joss Whedon,male,1405403694,280000000
48,Red Sparrow,401981,6.4,1780,43.508,2018,Francis Lawrence,male,147988192,69000000
49,The Lord of the Rings: The Fellowship of the Ring,120,8.2,11542,43.501,2001,Peter Jackson,male,871368364,93000000
50,Annihilation,300668,6.3,2395,43.435,2018,Alex Garland,male,41782301,40000000
51,Guardians of the Galaxy Vol. 2,283995,7.6,8836,43.288,2017,James Gunn,male,863756051,200000000
52,12 Strong,429351,5.1,775,42.825,2018,Nicolai Fuglsig,male,62928960,0
53,Spider-Man: Homecoming,315635,7.3,8157,42.636,2017,Jon Watts,male,880166924,175000000
54,Insurgent,262500,6.3,5328,42.329,2015,Robert Schwentke,male,295238201,110000000
55,The Equalizer,156022,7.1,3772,41.985,2014,Antoine Fuqua,male,192330738,55000000
56,Truth or Dare,460019,6.1,709,41.864,2018,Jeff Wadlow,male,92953572,3500000
57,Maze Runner: The Death Cure,336843,7.1,2215,41.78,2018,Wes Ball,male,284881603,62000000
58,Game Night,445571,6.9,1253,41.431,2018,John Francis Daley,male,117140558,37000000
59,Hotel Transylvania,76492,6.8,3552,40.876,2012,Genndy Tartakovsky,,358375603,85000000
60,Aage Ki Soch,343111,2.8,4,40.785,1988,Dada Kondke,female,0,0
61,John Wick,245891,7.0,7796,40.663,2014,Chad Stahelski,male,88761661,20000000
62,X-Men: Days of Future Past,127585,7.5,8137,40.159,2014,Bryan Singer,male,747862775,250000000
63,Thor: The Dark World,76338,6.7,7429,40.097,2013,Alan Taylor,male,644571402,170000000
64,Star Wars,11,8.2,9249,39.674,1977,George Lucas,male,775398007,11000000
65,Sleight,347882,5.2,332,39.351,2017,J.D. Dillard,male,0,0
66,X-Men: Apocalypse,246655,6.5,6584,39.342,2016,Bryan Singer,male,543934787,178000000
67,Pirates of the Caribbean: The Curse of the Black Pearl,22,7.6,9742,39.182,2003,Gore Verbinski,male,655011224,140000000
68,Dawn of the Planet of the Apes,119450,7.3,5947,38.915,2014,Matt Reeves,male,710644566,170000000
69,Deadpool,293660,7.5,15943,38.543,2016,Tim Miller,male,783100000,58000000
70,Batman v Superman: Dawn of Justice,209112,5.8,9809,38.469,2016,Zack Snyder,male,873260194,250000000
71,Captain America: Civil War,271110,7.2,10646,38.062,2016,Anthony Russo,male,1153304495,240000000
72,Thor,10195,6.7,9597,37.872,2011,Kenneth Branagh,male,449326618,150000000
73,Dunkirk,374720,7.4,6619,37.528,2017,Christopher Nolan,male,525573161,100000000
74,The Hobbit: The Battle of the Five Armies,122917,7.2,6621,37.052,2014,Peter Jackson,male,956019788,250000000
75,Mad Max: Fury Road,76341,7.4,12008,36.935,2015,George Miller,male,378858340,150000000
76,Split,381288,7.1,6998,36.168,2017,M. Night Shyamalan,,278454358,9000000
77,The Hunger Games: Mockingjay - Part 1,131631,6.7,8031,35.931,2014,Francis Lawrence,male,752100229,125000000
78,Gringo,340022,6.0,150,35.71,2018,Nash Edgerton,male,0,0
79,Now You See Me 2,291805,6.7,5044,35.645,2016,Jon M. Chu,male,334901337,90000000
80,Wonder Woman,297762,7.2,9471,35.565,2017,Patty Jenkins,female,821847012,149000000
81,The Shape of Water,399055,7.3,4545,35.515,2017,Guillermo del Toro,male,194989655,19500000
82,Inception,27205,8.2,17994,35.385,2010,Christopher Nolan,male,825532764,160000000
83,Fantastic Beasts and Where to Find Them,259316,7.3,8627,35.383,2016,David Yates,male,809342332,180000000
84,The Dark Knight,155,8.4,15454,35.3,2008,Christopher Nolan,male,1004558444,185000000
85,Coco,354912,7.9,5211,35.294,2017,Lee Unkrich,male,800526015,175000000
86,The Fate of the Furious,337339,6.8,5174,34.349,2017,F. Gary Gray,,1238764765,250000000
87,The Kissing Booth,454983,7.6,1106,34.313,2018,Vince Marcello,male,0,0
88,Big Hero 6,177572,7.8,8341,34.276,2014,Don Hall,male,657818612,165000000
89,Beauty and the Beast,321612,6.8,8727,34.227,2017,Bill Condon,male,1263521126,160000000
90,Fifty Shades Darker,341174,6.0,3522,34.217,2017,James Foley,male,378827494,55000000
91,Zootopia,269149,7.7,7739,34.138,2016,Byron Howard,male,1023784195,150000000
92,Maquia: When the Promised Flower Blooms,476292,6.6,5,33.998,2018,Mari Okada,female,0,0
93,"Love, Simon",449176,8.3,1295,33.748,2018,Greg Berlanti,male,60848932,17000000
94,Unfriended: Dark Web,505058,5.2,3,33.627,2018,Stephen Susco,male,0,0
95,Solo: A Star Wars Story,348350,6.8,1227,33.583,2018,Ron Howard,male,315245692,250000000
96,Avatar,19995,7.3,15403,33.451,2009,James Cameron,male,2787965087,237000000
97,The Greatest Showman,316029,8.0,2809,33.366,2017,Michael Gracey,male,432844677,84000000
98,Kingsman: The Golden Circle,343668,7.0,3847,33.083,2017,Matthew Vaughn,male,410902662,104000000
99,The Incredibles,9806,7.6,7812,33.057,2004,Brad Bird,male,631442092,92000000
100,American Pie,2105,6.4,3291,32.975,1999,Paul Weitz,male,235483004,11000000
101,Harry Potter and the Chamber of Secrets,672,7.6,8663,32.649,2002,Chris Columbus,male,876688482,100000000
102,Unsane,467660,6.1,203,32.505,2018,Steven Soderbergh,male,13121204,1500000
103,Den of Thieves,449443,6.4,672,32.501,2018,Christian Gudegast,male,79547622,30000000
104,The Lord of the Rings: The Return of the King,122,8.3,10561,32.427,2003,Peter Jackson,male,1118888979,94000000
105,The Imitation Game,205596,8.0,8154,32.423,2014,Morten Tyldum,male,233555708,14000000
106,Mamma Mia!,11631,6.6,2290,32.274,2008,Phyllida Lloyd,,609841637,52000000
107,Blockers,437557,6.2,371,32.212,2018,Kay Cannon,female,93155065,21000000
108,X-Men: Dark Phoenix,320288,0.0,0,32.197,2019,Simon Kinberg,male,0,0
109,Isle of Dogs,399174,7.9,662,31.968,2018,Wes Anderson,male,19405171,62770198
110,I Kill Giants,419831,6.1,201,31.954,2018,Anders Walter,male,0,15100000
111,Life of the Party,399796,6.2,140,31.916,2018,Ben Falcone,male,61700416,30000000
112,Escape Plan 2: Hades,440471,4.6,165,31.885,2018,Steven C. Miller,male,0,0
113,Ocean's Eight,402900,6.7,611,31.697,2018,Gary Ross,male,116275170,70000000
114,Sicario: Day of the Soldado,400535,6.7,156,31.338,2018,Stefano Sollima,male,0,0
115,Men in Black,607,7.0,6152,31.325,1997,Barry Sonnenfeld,male,589390539,90000000
116,Shipwrecked,71805,6.1,17,31.228,1990,Nils Gaup,male,0,0
117,I Feel Pretty,460668,6.3,222,31.152,2018,Abby Kohn,female,51748264,32000000
118,Doctor Strange,284052,7.2,9138,31.122,2016,Scott Derrickson,male,677718395,166000000
119,Twilight,8966,5.9,5427,31.05,2008,Catherine Hardwicke,female,392616625,37000000
120,Allegiant,262504,5.9,3033,31.018,2016,Robert Schwentke,male,179246868,110000000
121,The Lord of the Rings: The Two Towers,121,8.2,9967,31.003,2002,Peter Jackson,male,926287400,79000000
122,Zoe,458005,6.3,3,30.836,2018,Drake Doremus,male,0,0
123,Forrest Gump,13,8.3,11286,30.759,1994,Robert Zemeckis,male,677945399,55000000
124,Star Wars: The Force Awakens,140607,7.4,10597,30.704,2015,J.J. Abrams,male,2068223624,245000000
125,The Lion King,8587,8.1,7780,30.561,1994,Roger Allers,male,987483777,45000000
126,The Shawshank Redemption,278,8.6,10547,30.156,1994,Frank Darabont,male,28341469,25000000
127,Teenage Mutant Ninja Turtles,98566,5.8,3491,30.057,2014,Jonathan Liebesman,male,477200000,125000000
128,Chicken Run,7443,6.5,1835,29.883,2000,Peter Lord,male,224834564,45000000
129,Cinderella,150689,6.7,3459,29.288,2015,Kenneth Branagh,male,543514353,95000000
130,Frozen,109445,7.3,7451,29.237,2013,Chris Buck,male,1274219009,150000000
131,Disobedience,419743,7.1,109,28.937,2017,Sebastián Lelio,,0,6000000
132,Iron Man,1726,7.5,12029,28.924,2008,Jon Favreau,male,585174222,140000000
133,The Matrix,603,8.0,11566,28.841,1999,Lana Wachowski,female,463517383,63000000
134,Inside Out,150540,8.0,9699,28.769,2015,Pete Docter,male,857611174,175000000
135,Alien,348,8.0,6026,28.727,1979,Ridley Scott,male,104931801,11000000
136,Alien: Covenant,126889,5.8,3989,28.722,2017,Ridley Scott,male,232380243,97000000
137,Ice Age: Collision Course,278154,5.8,1758,28.649,2016,Mike Thurmeier,male,408579038,105000000
138,A Wrinkle in Time,407451,5.1,507,28.523,2018,Ava DuVernay,female,71700000,103000000
139,Pirates of the Caribbean: On Stranger Tides,1865,6.4,6821,28.45,2011,Rob Marshall,male,1045713802,380000000
140,The Martian,286217,7.6,9751,28.293,2015,Ridley Scott,male,630161890,108000000
141,Tau,411143,6.3,203,28.217,2018,Federico D'Alessandro,male,0,0
142,Transformers: The Last Knight,335988,6.0,2481,28.131,2017,Michael Bay,male,605425157,217000000
143,Pirates of the Caribbean: Dead Men Tell No Tales,166426,6.5,5179,27.973,2017,Joachim Rønning,male,794191988,230000000
144,Super Troopers 2,50022,6.2,80,27.932,2018,Jay Chandrasekhar,male,18850674,13500000
145,Fury,228150,7.4,5343,27.855,2014,David Ayer,male,211817906,68000000
146,Titanic,597,7.7,10821,27.823,1997,James Cameron,male,1845034188,200000000
147,The Godfather,238,8.6,8037,27.739,1972,Francis Ford Coppola,male,245066411,6000000
148,Ice Age,425,7.2,5730,27.666,2002,Chris Wedge,male,383257136,59000000
149,Terminator Genisys,87101,5.9,4536,27.641,2015,Alan Taylor,male,440603537,155000000
150,Transformers: Age of Extinction,91314,5.8,3970,27.613,2014,Michael Bay,male,1091405097,210000000
151,Jumanji: Welcome to the Jungle,353486,6.6,4829,27.534,2017,Jake Kasdan,male,962119864,90000000
152,Dances with Wolves,581,7.8,1512,27.527,1990,Kevin Costner,male,424208848,22000000
153,Zombies,483980,7.1,68,27.494,2018,Paul Hoen,male,0,0
154,Ghostland,476299,7.3,166,27.487,2018,Pascal Laugier,male,0,0
155,mother!,381283,6.9,2280,27.397,2017,Darren Aronofsky,male,44516999,30000000
156,Baby Driver,339403,7.4,5663,27.341,2017,Edgar Wright,male,226945087,34000000
157,Sicario,273481,7.2,3462,27.035,2015,Denis Villeneuve,male,84025816,30000000
158,The Dark Knight Rises,49026,7.7,11544,27.002,2012,Christopher Nolan,male,1084939099,250000000
159,"Monsters, Inc.",585,7.7,8420,26.985,2001,Pete Docter,male,562816256,115000000
160,Crayon Shin-chan: Burst Serving! Kung Fu Boys ~Ramen Rebellion~,507562,1.0,1,26.882,2018,Wataru Takahashi,male,0,0
161,The Hobbit: An Unexpected Journey,49051,7.1,10227,26.85,2012,Peter Jackson,male,1021103568,250000000
162,"Three Billboards Outside Ebbing, Missouri",359940,8.2,3370,26.806,2017,Martin McDonagh,male,158526998,15000000
163,Birdman,194662,7.4,6136,26.797,2014,Alejandro González Iñárritu,male,103215094,18000000
164,Furious 7,168259,7.3,5395,26.68,2015,James Wan,male,1506249360,190000000
165,Godzilla: City on the Edge of Battle,492719,6.6,14,26.674,2018,Hiroyuki Seshita,male,0,0
166,Rise of the Planet of the Apes,61791,7.2,5988,26.655,2011,Rupert Wyatt,male,482860185,93000000
167,Divergent,157350,6.9,6507,26.519,2014,Neil Burger,male,288747895,85000000
168,Hostiles,384680,6.5,579,26.517,2017,Scott Cooper,male,29815215,55000000
169,My Neighbor Totoro,8392,8.1,2462,26.516,1988,Hayao Miyazaki,,0,0
170,The Hunger Games: Catching Fire,101299,7.4,8935,26.435,2013,Francis Lawrence,male,847423452,130000000
171,Jigsaw,298250,6.0,1236,26.407,2017,Michael Spierig,male,102952888,10000000
172,John Wick: Chapter 2,324552,6.8,4300,26.348,2017,Chad Stahelski,male,171539887,40000000
173,Dragon Ball Super: Broly,503314,0.0,0,26.274,2018,Tatsuya Nagamine,male,0,0
174,Gone Girl,210577,7.9,8023,26.266,2014,David Fincher,male,369330363,61000000
175,Whiplash,244786,8.4,6117,26.251,2014,Damien Chazelle,male,13092000,3300000
176,Jurassic Park,329,7.8,6928,26.173,1993,Steven Spielberg,male,920100000,63000000
177,Fight Club,550,8.4,13005,26.101,1999,David Fincher,male,100853753,63000000
178,Spectre,206647,6.4,5730,26.014,2015,Sam Mendes,male,880674609,245000000
179,Harry Potter and the Prisoner of Azkaban,673,7.8,8576,26.001,2004,Alfonso Cuarón,male,789804554,130000000
180,Suck Me Shakespeer 2,329263,6.5,425,25.819,2015,Bora Dağtekin,male,83027924,0
181,Murder on the Orient Express,392044,6.7,3478,25.657,2017,Kenneth Branagh,male,351839303,55000000
182,Toc Toc,437033,6.6,141,25.613,2017,Vicente Villanueva,male,0,0
183,Night at the Museum: Secret of the Tomb,181533,6.1,2679,25.544,2014,Shawn Levy,male,349424282,127000000
184,Pirates of the Caribbean: Dead Man's Chest,58,7.1,7374,25.5,2006,Gore Verbinski,male,1065659812,200000000
185,Arrival,329865,7.4,8071,25.476,2016,Denis Villeneuve,male,203388186,47000000
186,Kingsman: The Secret Service,207703,7.6,8319,25.391,2015,Matthew Vaughn,male,414351546,81000000
187,Pirates of the Caribbean: At World's End,285,7.0,6518,25.354,2007,Gore Verbinski,male,961000000,300000000
188,Batman Begins,272,7.6,9850,25.258,2005,Christopher Nolan,male,374218673,150000000
189,Maze Runner: The Scorch Trials,294254,6.5,4955,25.242,2015,Wes Ball,male,311256926,61000000
190,Get Out,419430,7.4,5985,25.216,2017,Jordan Peele,male,255017329,4500000
191,Grease,621,7.3,2619,25.185,1978,Randal Kleiser,male,181813770,6000000
192,Kong: Skull Island,293167,6.3,4739,25.144,2017,Jordan Vogt-Roberts,male,566652812,185000000
193,Despicable Me 2,93456,7.0,6014,25.134,2013,Pierre Coffin,male,970761885,76000000
194,Iron Man 2,10138,6.7,9368,25.074,2010,Jon Favreau,male,623933331,200000000
195,Trainwreck,271718,5.8,1470,24.951,2015,Judd Apatow,male,140795793,35000000
196,The Amazing Spider-Man,1930,6.5,8583,24.885,2012,Marc Webb,male,752215857,215000000
197,Leon: The Professional,101,8.3,5910,24.851,1994,Luc Besson,male,45284974,16000000
198,Molly's Game,396371,7.1,1017,24.823,2017,Aaron Sorkin,male,28780744,30000000
199,There Be Dragons,45054,5.0,78,24.727,2011,Roland Joffé,male,0,0
200,Toy Story,862,7.9,7794,24.564,1995,John Lasseter,male,373554033,30000000
201,Tag,455980,7.1,142,24.558,2018,Jeff Tomsic,male,0,28000000
202,La La Land,313369,7.9,7576,24.549,2016,Damien Chazelle,male,445435700,30000000
203,Iron Man 3,68721,6.9,11321,24.499,2013,Shane Black,male,1215439994,200000000
204,Harry Potter and the Deathly Hallows: Part 2,12445,8.0,8712,24.389,2011,David Yates,male,1342000000,125000000
205,Skyfall,37724,7.0,9099,24.26,2012,Sam Mendes,male,1108561013,200000000
206,Call Me by Your Name,398818,8.3,2758,24.144,2017,Luca Guadagnino,male,41063475,4000000
207,Annabelle: Creation,396422,6.4,2332,24.121,2017,David F. Sandberg,male,305092201,15000000
208,The Fifth Element,18,7.4,5066,24.048,1997,Luc Besson,male,263920180,90000000
209,Hacksaw Ridge,324786,8.0,5092,24.042,2016,Mel Gibson,female,175302354,40000000
210,Kung Fu Panda,9502,7.0,4650,24.041,2008,Mark Osborne,male,631744560,130000000
211,Finding Nemo,12,7.7,8899,24.02,2003,Andrew Stanton,male,940335536,94000000
212,Harry Potter and the Half-Blood Prince,767,7.5,7827,23.989,2009,David Yates,male,933959197,250000000
213,Peter Rabbit,381719,6.5,310,23.984,2018,Will Gluck,male,309973563,50000000
214,Chappie,198184,6.7,4127,23.975,2015,Neill Blomkamp,male,104399548,49000000
215,Fifty Shades of Grey,216015,5.3,5039,23.84,2015,Sam Taylor-Johnson,male,571006128,40000000
216,Rogue One: A Star Wars Story,330459,7.5,7546,23.831,2016,Gareth Edwards,male,1056057273,200000000
217,Broken Star,521410,7.0,1,23.816,2018,Dave Schwep,male,0,0
218,2001: A Space Odyssey,62,8.0,4401,23.798,1968,Stanley Kubrick,male,68700000,10500000
219,Billionaire Boys Club,385360,5.0,9,23.74,2018,James Cox,male,0,0
220,San Andreas,254128,6.1,4168,23.722,2015,Brad Peyton,male,470490832,110000000
221,Tomorrowland,158852,6.2,3797,23.713,2015,Brad Bird,male,209154322,190000000
222,Southpaw,307081,7.3,2782,23.656,2015,Antoine Fuqua,male,91709827,30000000
223,Brave,62177,6.9,6284,23.569,2012,Mark Andrews,male,538983207,185000000
224,Men in Black II,608,6.2,4408,23.476,2002,Barry Sonnenfeld,male,441818803,140000000
225,The Scorpion King,9334,5.4,1182,23.459,2002,Chuck Russell,male,165333180,60000000
226,V for Vendetta,752,7.8,6244,23.418,2006,James McTeigue,male,132511035,54000000
227,The Expendables,27578,6.0,3803,23.388,2010,Sylvester Stallone,male,274470394,80000000
228,#realityhigh,455656,6.4,320,23.333,2017,Fernando Lebrija,male,0,0
229,The Hobbit: The Desolation of Smaug,57158,7.6,6139,23.308,2013,Peter Jackson,male,958400000,250000000
230,Pixels,257344,5.6,3376,23.296,2015,Chris Columbus,male,243637091,88000000
231,Saw,176,7.3,3583,23.271,2004,James Wan,male,103911669,1200000
232,The Post,446354,7.0,1566,23.238,2018,Steven Spielberg,male,174503458,50000000
233,Ghost Stories,429417,6.8,103,23.118,2018,Jeremy Dyson,male,0,0
234,Goosebumps,257445,6.1,1448,23.11,2015,Rob Letterman,male,158162788,58000000
235,Toy Story 2,863,7.4,5707,23.107,1999,John Lasseter,male,497366869,90000000
236,Ghost in the Shell,315837,5.9,4070,23.092,2017,Rupert Sanders,male,169801921,110000000
237,Shrek,808,7.5,6138,23.052,2001,Andrew Adamson,male,484409218,60000000
238,Death Wish,395990,5.6,576,23.04,2018,Eli Roth,,34017028,30000000
239,Suicide Squad,297761,5.9,10833,23.008,2016,David Ayer,male,745600054,176000000
240,Lion,334543,8.1,2743,22.931,2016,Garth Davis,male,140302754,12000000
241,Hereditary,493922,7.1,345,22.915,2018,Ari Aster,male,48241054,10000000
